Frame,C009,C013,C005,C028,C004,C012,C024,C008,C042,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C016,C000,C031,C007,C011,C010,C006,C030
0.0,0.2549295,1.36716,-0.1490628,-1.579116,-1.430069,-2.446499,2.346324,0.1071356,0.6043138,1.372929,0.5897899,-1.064767,0.36746,0.664676,0.0420338,-0.08311473,-0.3693143,1.500353,13.83536,3.675477,-0.02969139,-4.779927,-2.280317,-1.177697,0.4074664,0.354225,-0.9650671
0.066627,1.318577,0.324218,0.3219021,-1.51252,-0.7439073,-2.697078,-2.069414,-0.9891018,0.8606865,2.408195,0.4563491,-0.04005568,0.8879948,-1.365554,-0.3054886,-0.7748117,-0.2864405,1.524051,12.02439,0.1640715,-0.9142703,0.3385419,-0.7466895,-1.049043,0.3421514,-0.8370067,0.6925837
0.133254,-0.6832974,1.706295,-0.2175942,-1.339687,-0.93854,0.5215302,-0.5859869,1.217863,1.510776,3.7502,0.8636323,0.9458705,-0.1956476,2.902773,0.1789892,0.3485843,-0.8151491,3.105895,2.896652,0.3151762,-0.2423345,-0.2612616,1.87593,-0.4743814,0.4359938,0.2011291,0.1823553
0.199881,0.08060943,1.077565,-0.6779592,-0.8737063,-0.562426,0.1056766,-0.2505146,0.0250524,1.39457,1.466603,0.4329298,0.4057797,-0.3250315,1.205239,-0.317596,0.2957936,-0.8843737,2.116726,2.788895,-0.2629502,-0.05683768,0.5755539,0.7058606,-0.351171,0.2293796,-0.2199464,-0.2464013
0.266508,1.040008,1.415443,-0.2156485,-0.9105267,-0.678915,0.724508,-0.1999893,0.9874488,1.135878,0.8166915,0.9704038,-0.6304437,0.2334881,2.323042,-0.2770902,-0.5279855,0.2165503,2.180301,0.9179401,-0.09985122,0.4378191,-0.525039,0.1142264,0.003544739,0.7392396,-0.3777532,0.5373768
0.333135,0.2781354,0.04681798,-0.1425829,-1.13236,-0.5579482,0.3474374,-0.6027451,-0.0579503,1.042108,1.02659,0.9651089,-0.1602971,0.4897342,3.432188,-0.2809014,0.01410065,0.009643955,1.960634,2.349012,-0.02833019,0.461012,0.2889389,0.688127,0.588438,0.1250927,0.5047616,0.06888825
0.399762,0.5496699,0.8396026,0.03937041,-1.452007,-0.5207326,0.03762372,-0.1028291,0.7433252,0.8059745,0.699566,0.1643817,0.2787682,0.3708874,3.224936,-0.3761682,-0.3783458,0.4848745,1.194996,1.577166,-1.117551,-0.04728248,-0.9007146,0.4360388,-0.1397786,0.2238915,-0.0470766,-0.4517972
0.466389,0.7980338,0.3296148,-0.162893,-1.249825,-0.3501341,0.01113021,-0.5655928,0.1805284,0.6234048,0.1120665,0.6340151,-0.1705722,0.3112184,3.625683,-0.4409342,-0.5181271,0.1912646,0.5784875,0.8386595,-0.6222495,0.8122979,0.7392035,0.8305659,-0.122011,-0.01768975,-0.7642818,0.4705286
0.533016,-0.720681,0.8631399,-0.3799011,-1.599538,-0.7644898,0.4187292,0.124778,1.046084,0.4119011,0.5853182,0.07923236,0.189771,-0.3115359,3.863798,0.05736272,0.2961856,-0.6694862,0.5933574,1.971535,-1.196213,-1.178648,-1.413958,0.6440992,-0.2515204,0.05404221,0.3975661,-0.2150574
0.599643,-0.03556563,0.3701477,0.1637981,-1.537468,-1.003665,-0.6302972,-0.004700974,-0.243338,0.421081,2.157319,0.4442768,-0.0506227,0.3508062,4.463504,-0.2448123,0.5649962,0.3907942,1.480201,0.8580238,-0.2531961,-0.7575182,-0.8929149,0.06672563,-0.5558581,0.2921959,0.4403892,-0.03901502
0.66627,0.422249,0.8821011,-0.5757378,-1.197919,-1.336002,1.048834,-0.3275596,-0.3311878,0.9764947,0.6346613,0.1360077,-0.4410179,-0.3428799,3.72299,0.04891703,0.09177937,0.4667454,2.377957,1.527622,-0.1374978,0.3292163,0.3044481,0.07479469,0.6526528,0.2002847,0.6895941,-0.07769337
