Frame,C009,C013,C005,C004,C012,C008,C015,C003,C018,C002,C014,C001,C000,C007,C011,C010,C006
0.0,1.568525,-1.606161,0.5373525,1.352467,0.01729262,-0.7279859,10.96687,-3.006189,3.010039,-0.2393686,2.15732,2.213707,0.3046044,0.6143606,1.209036,5.94595,-0.2781019
0.066627,0.3109399,-0.5134659,-0.1679965,0.1229495,-0.1219813,0.9092416,0.9934011,-1.851586,1.054718,0.2392478,0.05758479,2.028829,-0.8368009,0.4271551,0.7335429,5.458578,-0.9121559
0.133254,1.454764,-1.253779,0.3623503,0.6033051,-0.3287489,-0.05072827,0.9676109,-1.205776,2.668679,0.135322,0.0639836,1.717455,-0.6105447,-0.8568134,-0.07107913,6.287647,0.1765467
0.199881,1.095284,-1.550577,0.01583519,1.684705,-0.003743218,-0.5669966,-0.5820267,-2.034035,1.195523,-0.4494708,-0.5079776,0.9031885,-1.125955,-0.1774475,0.938671,4.84789,-0.3134051
0.266508,1.32659,-1.234024,0.3778405,0.2583895,-0.27585,0.06198255,1.148663,-1.447527,0.2823493,-0.05555497,0.08325266,1.175161,-0.568554,-0.7623219,0.1415957,5.551017,0.2176645
0.333135,0.4776163,-1.19683,0.1035014,-0.3802036,-0.1957778,0.06515095,0.2019465,-1.584811,0.3712206,-0.2889604,-1.583505,-0.3998136,-0.6397614,-0.3689916,0.2721135,5.255513,-0.04332667
0.399762,1.227671,-0.9844089,0.2348909,0.562997,-0.1697047,-0.09564748,-0.0141684,-1.430847,2.212506,-0.07120039,-0.5974341,0.4227523,-0.6771842,-0.7165757,-0.1822705,4.296509,0.1566115
0.466389,0.4638528,-0.1063446,0.2888083,0.5982856,-0.6545528,1.170302,0.410769,-1.601839,-0.6438682,-0.3828419,-0.882118,-0.884766,-1.150487,0.218553,0.6724252,4.064525,-0.01346541
0.533016,1.28243,-0.1022635,-0.1575751,0.8368639,-0.454509,0.9443785,0.494543,-1.085778,0.4480458,-0.1019319,-0.3438578,0.7057123,-0.563059,-0.06088783,0.8840774,4.450497,0.6215814
0.599643,0.4286472,0.4763623,0.2750937,-0.4525563,-0.4988714,1.311965,-0.09199718,-1.802776,0.2874603,0.2715313,-0.5891054,-0.7868641,-0.7086767,-0.7214695,-0.04829059,4.942945,1.58905
0.66627,0.866643,0.4680069,0.1861185,0.153636,-0.6946045,1.054846,-0.1795699,-1.693734,-0.5020693,-0.5678353,-1.328238,-0.5627344,-0.7675493,-0.7108668,0.2732947,4.609267,0.2248466
0.732897,0.3191091,0.1902101,0.1324661,-0.1257518,-0.4316005,1.416641,-0.2486799,-1.871608,2.007364,-0.001561922,0.4422542,-0.2937587,-0.8876514,-0.4027274,-1.012279,4.386909,-0.1646496
0.799524,0.3730834,0.6844559,0.03993398,0.06975429,-0.5855429,1.257661,-0.6318577,-1.98091,1.355196,0.2718996,-0.6708364,-0.02552829,-0.7574614,-0.347056,-0.1269288,3.762138,0.3022716
