Frame,C009,C005,C004,C008,C003,C019,C002,C001,C000,C007,C011,C010,C006
0.0,-0.1016182,0.2499282,0.3030053,-0.2787989,0.8062835,0.5755534,-0.9548575,-0.7635556,0.8588183,-0.7801801,3.05494,-0.3797493,-0.1567326
0.066627,0.4660353,0.9670066,0.2886264,0.3855284,-0.3990613,-0.5814068,-0.7732706,-0.5274941,0.9237453,-0.1656998,-0.4498163,-0.4789906,-0.6750834
0.133254,-0.1846541,-0.01225901,0.1325371,0.7840055,-0.4390124,0.5554687,-0.663229,-0.2036228,0.1415694,-0.2163368,-0.5343463,-0.8684241,-0.5086479
0.199881,-0.5121019,0.1114722,0.02623071,0.6276429,-0.7726634,0.7591334,-0.6708576,-0.04560816,1.07252,-0.674188,0.6950538,0.6302816,0.1239961
0.266508,-0.3712975,-0.2493451,0.09050207,-0.1280628,-0.9819382,-0.1695348,-0.7202012,-1.04734,0.001160974,-0.2934912,1.355576,0.2328288,-0.4634883
0.333135,-0.3284948,-0.2675316,0.2043081,0.5272549,-0.2543934,0.09368952,-0.1037734,0.2723271,0.4864579,-1.1893,0.2773167,0.7341797,-0.209091
0.399762,-0.2535905,-0.37476,0.1835697,-0.08405366,-0.5194363,0.07524689,-0.5814454,-0.3920992,-0.1999741,-0.6061195,0.7056016,-0.4515984,-0.4814214
0.466389,0.00379446,0.5685523,0.00280127,0.198672,-0.05033619,0.4098494,-0.6734193,0.01665488,-0.1581643,0.02811619,0.272078,0.5084766,-0.1233817
0.533016,-0.1219238,0.2344699,0.1888157,0.5662482,-0.3771823,0.008138326,-1.147424,0.3636999,0.1773237,0.1782122,-0.1487871,0.7689108,0.5350281
0.599643,0.1268668,0.4500666,0.105847,1.004945,-1.24779,0.3683109,-0.9141523,0.1804107,0.459096,-0.5313803,1.135218,-0.07774339,0.1647023
0.66627,-1.127109,0.5543478,0.1965341,-0.184623,-1.050649,0.2140625,0.2843491,0.02280217,0.1853851,-1.422906,1.221905,1.389695,0.2796131
0.732897,0.1231134,-0.1532653,0.212758,0.1766029,-0.6187389,-0.1419078,0.04767817,-0.1144051,0.3366211,-0.3383344,-0.782556,-0.4117509,-0.01846863
0.799524,0.3046292,0.457134,0.3764511,-0.06075274,-0.4625372,0.3143953,0.6397979,0.385509,0.1771813,-0.3531376,-0.5288794,0.501592,0.3531958
0.866151,-0.3226029,0.1537501,-0.04121205,0.3352284,-1.43685,0.8486882,0.06193102,-0.1350919,0.3162326,1.560771,1.548861,0.110433,-0.1597077
0.932778,0.0388667,-0.7153368,0.04702497,-0.3241304,-0.0939506,-0.5969855,-1.08532,-0.05512856,-0.08505779,-0.216496,0.6221295,0.2564964,0.1314373
0.999405,0.3058653,0.2423159,0.08070179,-0.1033539,-1.008994,0.167199,-0.06130246,-0.3573565,-0.3255797,0.3213507,-0.139323,0.1933912,0.3756365
1.066032,-0.1354452,0.9863626,0.08761634,-0.4036425,-1.027115,0.7791102,1.866785,-0.3610508,-0.6814147,0.1073972,-2.141786,-0.5791335,0.1551215
1.132659,-0.2804548,0.005442184,0.1745882,-0.3607504,-1.732543,0.7440047,-0.2168358,0.01619376,-0.6176668,-0.1716597,-1.269597,-0.1864707,0.06618935
1.199286,-0.3725329,-0.3632169,-0.1113562,-0.4781097,-1.046302,0.0738664,0.3289225,-0.3072796,-0.02680076,1.13925,0.3091589,-0.2964935,-0.1072797
1.265913,-0.339532,-0.01151083,0.1372922,-0.5490649,-0.2212356,0.0571956,0.4177831,-0.09765837,-0.1754811,0.5447732,-0.1267822,-0.3122756,-0.7892507
1.33254,-0.1615437,0.393989,0.0260455,-0.3741157,-1.598821,0.3136704,-0.2539849,-0.3616803,-0.4822346,-0.136647,0.8090331,-0.649391,-0.5186487
1.399167,-0.1359991,-0.108781,-0.05264281,-0.03980435,-0.5836855,0.5711159,0.8505411,-0.1712733,0.07175789,-0.1823018,0.4726429,-0.2482857,-0.1289938
1.465794,-0.532666,0.07640279,0.2165706,-0.2212884,-0.001876745,0.4569426,0.03994163,0.1382478,-0.174793,-0.6060764,0.6819047,0.350414,-0.1507224
1.532421,-0.439413,0.1136826,-0.08507121,-0.4669215,-0.1301658,0.2310917,0.7804354,-0.5769724,0.5547217,1.029257,0.06043876,0.1331782,0.3278302
1.599048,-0.03081333,0.1426372,-0.06968737,-0.5933366,-1.186168,0.6099454,0.7198629,-0.2591225,-0.3937742,-0.592938,-0.7250597,0.5582656,-0.3782837
1.665675,-0.08127581,-0.2383897,0.07342905,0.3805981,-0.335285,0.5352373,0.491778,0.1847915,-0.3229913,0.01724537,-0.4626096,0.1860994,-0.3101718
1.732302,-0.1981475,0.1762318,0.007694992,-0.3474217,-0.8955409,-0.4534962,0.1569722,0.4484293,-0.3578202,0.2073513,0.07298286,0.7489581,-0.5293659
1.798929,0.1650238,-0.05443381,0.1352024,-0.4290126,-0.8721012,0.691426,0.9539779,-0.03196052,-0.05807133,-0.34883,-0.6432149,0.0603563,0.2385975
1.865556,-0.1385957,0.140544,-0.0259824,-0.1323147,-0.450725,0.03085433,-0.3580233,0.2442647,-0.4033279,0.4893177,-0.6496341,0.06562609,0.3683673
1.932183,-0.3380478,0.6932111,0.04409799,-0.1239652,-0.884096,-0.2124917,0.1111103,-0.2360739,-0.05743979,-0.7173133,0.09259866,0.1868139,0.0524341
1.99881,0.3889674,0.326413,-0.04354813,-0.1392535,-0.2800597,0.9856047,-0.2161366,0.9097181,-0.6132067,-0.8700746,-0.01006696,0.2634265,-0.0289954
2.065437,0.3203895,0.2898466,0.3389105,-0.3787197,0.1111613,0.1051442,-0.5936379,0.2073823,-0.1403821,1.643666,-0.898545,0.01231063,0.1304854
2.132064,-0.0146085,-0.01438614,-0.08426795,0.1545759,-0.6690508,-0.9019486,-0.05219189,-0.4392734,-0.5019559,0.293645,-1.024677,-0.06615638,-0.6397033
