Frame,C009,C013,C005,C004,C012,C008,C015,C003,C019,C018,C002,C014,C001,C017,C000,C007,C011,C010,C006
0.0,3.276047,1.041037,1.22062,2.459488,2.324095,6.92535,-1.616737,-0.5464311,-2.505113,0.7873653,0.4759811,0.2890644,0.5698261,-1.292076,-0.01269012,0.9111466,-1.23953,-0.3029392,0.03596447
0.066627,-0.1914664,1.383499,0.8192186,-1.299295,2.301488,0.8537368,4.227453,0.06511289,-0.2639605,-0.210893,0.1633553,-0.427303,-3.183203,-1.521002,0.1458542,-0.6943054,-0.6857336,0.6667534,-0.2970978
0.133254,-0.455344,-0.4287022,3.061208,-1.297135,1.425917,-0.5261738,0.6861956,0.04927157,1.719967,0.2790693,0.4524802,1.192965,-1.547776,-1.356338,0.1414458,0.357,-1.323419,-0.8411453,-0.4466133
0.199881,-1.007412,1.013354,2.528116,0.5374265,1.056954,1.480865,1.174732,-0.4435449,-0.1917526,-0.561991,1.698865,-1.320325,-2.269196,-2.217019,0.5108621,0.04461177,-1.253691,-0.3965614,-0.8379597
0.266508,0.4695839,0.6050377,1.051765,-0.7372561,0.8651168,0.6031056,2.469294,-0.09713794,2.176083,-0.4704045,-1.228864,0.06820348,-1.526245,-2.001971,0.3649774,0.4505693,-0.6283112,-0.03523635,-0.5398485
0.333135,1.951755,1.341181,1.022531,-0.3904239,1.420531,2.376366,-3.138092,0.08528638,-1.113127,0.4020533,1.479259,0.1873591,2.258007,-1.901643,0.006723118,1.316053,-0.1360569,-0.9109406,0.6919549
0.399762,-2.077683,0.3148803,2.562604,0.4861082,2.81158,0.4079503,0.256845,0.06789164,1.044173,0.1816131,1.055835,-0.9026425,-1.836775,-1.354163,-0.3621955,0.4752581,-2.036585,-0.09093505,0.674955
0.466389,2.066063,2.827406,2.381233,0.3434373,3.094931,0.3523259,1.301218,-0.2852249,0.21815,-0.1325227,0.4411679,-2.096524,0.1503362,-2.005512,0.4588851,-2.302926,0.2551402,0.596233,-1.730123
0.533016,-2.865837,-1.782535,0.2813958,0.1628446,2.379386,2.978559,0.9233159,-0.2919299,-0.3547693,0.6640725,-0.04597059,-3.905367,-0.8288667,-2.118438,0.0006647569,0.536271,-0.4839189,0.7431072,-0.6851746
0.599643,-0.6147839,1.011267,-0.1248555,0.05154734,1.461078,1.788265,0.1015699,0.0554587,-0.5863909,0.1182512,1.281027,-1.157672,-0.8487567,-2.33743,-0.3839384,-0.9731603,-1.49788,-0.3852831,-0.5650064
0.66627,-0.7386819,1.553212,0.8240205,-0.3607059,1.625364,0.253722,0.1159526,-0.5669219,-0.7418581,0.05881325,-1.073055,-0.6910167,0.8007317,-2.127445,-0.5273772,-1.597997,-0.370363,-0.6036668,-0.841188
0.732897,-1.450009,0.3055246,2.412656,-2.344629,1.708605,4.794917,-2.287272,0.1996208,0.02614387,-0.5903401,0.8301675,-1.725837,0.8031929,-2.661861,0.01488696,-1.713085,-1.245177,-0.7979013,-0.06210434
0.799524,-0.152768,0.9310497,1.15204,-0.3949608,0.7550729,3.651252,1.186224,0.166431,-0.7549087,-0.3675742,-2.056343,-2.009074,0.9633959,-3.149758,-0.3538723,-1.020579,-0.5476663,0.2425591,-0.8115876
0.866151,-0.149491,-0.2787433,0.3672666,0.913103,0.6831822,5.541377,-1.093242,0.0183374,-2.694001,-0.242731,-2.063542,-3.077909,-0.2893668,-2.81675,-0.07382362,-0.4274243,-0.1768601,0.5775181,-0.7462354
0.932778,-0.2583473,-0.6101623,1.223796,0.2001004,0.02848012,3.415915,-0.9574772,-0.4960693,0.7838187,-0.9356704,-1.382078,-1.802357,-0.2669997,-3.086713,0.2886904,-0.8619273,-0.5954103,0.7771665,-2.300351
0.999405,-0.07378077,0.2486901,0.2676122,-0.7821001,0.465182,2.27906,0.8213893,-0.369827,-0.07342585,0.05568925,0.1017724,-0.8416727,0.1078194,-1.046137,0.07186572,0.3611701,-0.404969,-0.2228642,0.2611669
1.066032,-0.1130189,0.2969873,0.8542897,0.01594927,0.2146022,2.539137,-1.119124,-0.7546331,0.2410003,0.8095217,-0.9823419,-1.751743,0.6310034,0.05667815,0.2164107,-0.7448334,0.3029925,-0.3796636,-2.189625
1.132659,-1.215383,-0.9344143,1.415828,-1.518558,0.1117399,-1.266483,0.2468652,0.4871171,1.013088,0.5132717,-0.4232501,-1.437859,-1.17713,-1.326477,-0.1132962,1.35617,-3.036524,0.1366237,-1.458459
1.199286,0.6188415,-1.863755,-0.736412,1.415559,0.3377033,0.1542581,1.805285,0.1618053,-0.4363562,-0.1675628,0.03045032,-1.347698,0.8109704,-0.8681332,0.6917662,-2.22783,-0.6706727,0.1830323,-2.410034
1.265913,0.3089947,0.4539422,1.408775,-0.2351872,0.277742,0.1166729,-1.718952,-0.6137767,1.090246,0.06653185,-0.3398279,-0.3286397,1.246367,0.6169996,0.2886995,1.718421,-1.516275,-0.1161977,-0.124286
1.33254,-1.4541,0.3528855,0.8040817,1.007205,-0.01672646,1.591572,0.01745061,-0.6095939,-0.3307245,-0.1113816,-0.9669218,0.06805364,-0.9746203,1.069426,0.06655298,0.4103146,-2.16259,0.4674753,-1.738437
1.399167,0.7145926,-0.4076369,0.784655,-1.132494,0.02610354,0.9879302,-1.543259,-0.6985939,-0.6462124,-0.4699626,-0.03867373,-0.4664552,0.5611183,1.539605,0.2253268,-0.0208833,-0.5519375,-0.5068193,-0.4716091
1.465794,-0.3289094,-0.7407691,1.69982,-0.5163758,0.30349,1.824299,-1.579699,-0.5511635,0.459337,-0.3786385,-0.3430085,-1.322197,-0.96819,1.922325,0.05280346,0.5685247,-0.9418297,0.6490676,-1.546064
1.532421,0.7451439,0.3170199,1.065524,-0.178418,0.1606574,0.7591935,-1.54196,-0.5469608,0.6339031,-0.490253,1.0692,-0.4238967,-0.4817765,2.785555,0.1102164,0.357658,-1.646629,-0.1087064,-1.751774
