Frame,C009,C005,C004,C008,C003,C002,C001,C000,C007,C011,C010,C006
0.0,1.175571,5.692226,-0.468121,-2.894645,-0.1772649,-2.132963,0.5208554,0.7644717,-1.184156,-2.558825,1.649699,-0.1290312
0.066627,1.309545,5.158149,0.624755,-0.6049103,0.1136571,-2.36781,0.062506,0.4004682,0.5247794,-0.1043404,-0.07183272,-0.2315286
0.133254,-1.942705,5.158396,-1.119821,-1.21685,-0.1678103,-0.1098022,-0.06489401,-0.908072,1.565263,0.7494888,-0.1308121,0.2536165
0.199881,-2.270202,5.382367,-1.001615,-3.278684,-0.6473926,-0.9137861,-0.3376786,0.3260312,-0.8168347,0.0876935,0.777246,0.6260515
0.266508,1.213102,3.523859,0.1650976,-1.190811,-0.2010677,-0.3217015,-0.1262687,-1.680154,2.048163,-1.439744,-0.5175871,-0.1966337
0.333135,0.07059715,2.085442,-0.21177,1.986975,-0.350033,1.054695,-0.0609047,0.951785,-1.281734,-0.7071053,-1.200195,-0.0831591
0.399762,1.340375,1.935961,-0.3023832,-1.650326,0.1931596,-0.3570375,-0.3514867,-0.03532935,-0.01284081,0.8231862,0.8580237,-0.07107234
0.466389,0.6136206,0.7530171,0.372913,-1.261413,0.4871507,-1.342688,-0.1853271,-0.3905312,1.61881,-1.243506,1.793037,-0.559107
0.533016,0.1074357,1.47212,-0.1513332,0.1612737,0.4851708,0.1043321,-0.2093037,-0.6110662,0.5272998,-0.03535625,-0.4213993,-0.2335843
0.599643,0.3076948,1.814214,-0.2485304,2.272037,0.2950191,-0.3940382,-0.2591826,-0.06627219,-0.6359613,-0.7294618,-0.888043,-0.7226809
0.66627,-0.6819773,1.363082,0.5000509,-0.5541024,-0.03544235,-0.1408647,0.02383226,0.3179293,0.03446316,-1.399794,0.4114571,-0.1974004
0.732897,-0.6547228,0.8487335,0.06168301,-1.4448,0.5605963,-0.1797847,-0.4001491,0.07633028,-0.3104476,0.02819828,0.577051,0.1736691
0.799524,-0.9997678,0.01518218,-0.6808049,-1.937616,0.08565939,-0.7473241,0.0343934,-0.06852588,-1.82083,1.518679,0.8400976,0.3786766
0.866151,-0.2172011,1.087573,-0.5076479,-0.839588,-0.2609833,-0.2927085,-0.04200068,-0.3479508,0.3968976,-1.037011,0.4491163,0.4351902
0.932778,-0.7335486,0.2121772,0.4102987,-1.056726,0.2297732,0.0005149779,-0.7355128,-0.4822481,-0.07300561,-0.2661965,-0.09390009,-0.2451427
0.999405,-3.246612,-0.844218,1.290079,-2.769861,0.5346766,0.637135,-0.6191021,-1.101467,-0.3002699,0.9797583,0.4860783,-0.8802522
1.066032,-0.9491487,0.04098299,0.1548468,-1.545523,-0.04937468,-0.5804988,-0.3090093,-0.8964677,-1.316783,-0.6300737,1.162477,0.2673556
1.132659,-0.7754282,0.2500341,-0.9117811,0.07954899,0.1035644,-0.1063736,-0.4763113,-0.6101531,0.9695042,-0.1407851,1.037588,0.1962163
1.199286,-0.8675146,0.9451829,-1.26842,-0.5697067,-0.1246102,-1.142341,-0.1669623,-1.035064,0.1965287,0.8133116,2.013441,0.6896889
1.265913,-0.8541229,1.371438,-0.586991,-0.4540665,0.2005848,-1.005787,-0.1560502,-0.1515024,0.4720585,0.4282812,0.6167046,0.2828372
1.33254,-1.96317,0.08283482,0.9989942,-4.041523,-0.1203185,-1.196553,-0.1761109,1.001457,-0.4873655,-1.380598,2.27339,0.5841307
1.399167,-1.16995,0.1702382,-0.8123611,-0.8161619,0.3211262,-0.4260133,-0.4031811,-0.2522414,-0.7182207,0.9681298,2.869602,-0.160303
1.465794,-0.04866363,0.6041072,-1.089158,3.074919,0.4905265,-0.8488894,-0.2733405,-0.4302773,-0.1408407,1.399872,1.696323,-0.2938582
1.532421,-0.8532704,1.31922,-0.8002917,-0.5546048,0.323334,-0.7441456,-0.5894046,0.6433252,-0.4874,-0.7777383,1.605118,0.1254314
1.599048,0.1624672,0.7439613,-0.247823,-2.076257,0.03705557,-0.8878983,-0.08225293,-0.7955263,0.4436728,1.728205,2.478307,0.01664916
1.665675,-1.586022,0.3756803,-0.3611488,-0.08978925,-0.3942516,0.253307,-0.3135038,-1.286852,1.744708,0.5601556,-0.08368061,0.1763861
1.732302,2.631481,-0.2691198,-0.2958784,1.064806,-0.08966969,-1.03334,-0.3773852,0.07454021,-0.05662333,0.07830257,-0.452665,0.2337848
1.798929,-0.2989123,0.2313507,0.7058555,-0.9480783,-0.1259851,0.3462678,-0.2190893,-0.6633021,0.9507162,1.274603,-0.8410938,0.5757003
1.865556,-0.3825642,0.2196629,0.2629886,-0.3939265,0.05648289,-0.5847557,-0.2557667,-0.4578224,-0.06993744,-0.6518767,0.4233398,0.3208702
1.932183,0.3709516,0.7889463,-0.1557459,-0.9974875,0.2907797,-0.7350987,-0.4659485,0.6195186,0.05909097,-0.506655,-0.04239319,0.2764612
1.99881,-0.4133762,2.286481,-0.3500731,-1.155148,0.1865847,-0.4880229,-0.08508207,-0.1876928,-1.284245,-0.6615405,0.9078249,-0.1896392
2.065437,1.73012,2.750633,-0.6696023,-2.102273,0.1172735,-1.28151,0.3708299,-0.3169602,0.850868,-0.2840477,-0.8127022,0.4994524
2.132064,1.670384,1.716891,-0.201252,0.6971912,0.09583998,-1.30316,-0.8532599,-0.8572364,2.313887,-1.512036,-1.70497,-0.001156831
2.198691,0.371206,2.295797,0.6652694,-2.593674,0.1547654,0.7921275,-0.3585525,-0.1641763,2.839048,-3.347326,0.3841717,0.09345581
2.265318,-1.33193,1.751915,-1.084228,0.3259763,-0.1988268,-1.626662,-0.06432009,-0.03107312,-1.089182,-2.177937,0.8869506,-0.1229768
2.331945,0.8954242,1.586812,0.1875128,-3.125207,0.3573395,-0.4067984,-0.9393259,-0.1779166,0.921926,-2.941195,1.431692,-0.5313335
2.398572,0.5495338,0.1017935,0.2379334,0.4411111,-0.0009293433,1.511536,0.2808682,-0.188951,-1.247204,0.005196361,1.290903,-0.1502283
2.465199,1.048138,0.3095354,-0.02129188,-1.000109,-0.02019017,-0.9208062,-0.1503493,-0.4000765,-0.1870723,-3.232782,1.518213,-0.7492118
2.531826,0.05137165,-0.4669272,0.5906967,-2.314786,-0.2728526,0.315668,0.1953788,-0.02932294,-0.1873735,-2.72515,2.232436,0.2266864
2.598453,0.9895789,0.1540535,-0.9200673,-1.883114,-0.1707952,-0.7379009,-0.02764086,-1.113764,0.7587223,1.297773,-0.03515659,-0.09302574
2.66508,1.64815,0.9079081,0.1889399,-0.01993804,0.01419454,-1.238398,-0.0328094,-0.2409577,1.568316,-2.132001,1.906924,-0.2985672
2.731707,1.268972,1.612123,-0.1346367,0.2460179,0.2114244,-1.002126,-0.08031732,-0.3679845,0.9837047,-1.58945,-0.2855518,0.1960377
2.798334,-0.1122477,1.446916,0.1429317,1.543756,-0.3304181,-0.01048826,-0.7226658,0.1744075,-0.2175817,-3.090528,0.9770075,-0.07369208
2.864961,1.556653,1.382522,0.7126148,0.1452593,-0.02200169,-0.0523896,-0.2975038,-0.4688189,0.3454872,0.6068879,-0.4446569,0.293468
2.931588,-0.2129996,2.613954,-0.8995194,-0.3368734,-0.1086716,-0.2681199,-0.2788425,-1.41942,1.151454,0.3117185,0.3672253,-0.4251346
2.998215,-0.1480532,2.707775,-0.8061457,-0.3633669,-0.108329,-0.1429928,-0.1364604,-0.8324077,-0.5011478,0.8129951,-0.5254517,-0.08577248
3.064842,-1.147708,2.580739,-1.33378,-1.116171,-0.3255748,-1.357031,-0.46525,-0.08647308,-2.550899,-0.3133413,0.006848948,0.2947702
3.131469,-0.761261,2.947388,-0.618231,0.2924754,-0.3526714,0.1959998,-0.1933088,0.04699471,-1.492103,0.8359818,-0.7218645,0.3763456
3.198096,-1.446526,2.76418,-0.6968236,-1.772469,-0.08193275,0.09587236,0.1176875,-1.423424,0.3935624,-0.6073567,-0.8684763,-0.0003149393
3.264723,-1.663436,2.418121,0.01246678,-2.843434,-0.3743812,0.5205861,-0.1770326,-1.043563,1.876141,-1.586205,-0.1889737,0.485321
