Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,858,301,2,33.2866,1
C001,undecided,255,255,255,726,138,1,43.8292,1
C002,undecided,255,255,255,591,151,6,38.833,1
C003,undecided,255,255,255,751,551,1,38.8973,1
C004,undecided,255,255,255,766,246,1,41.6173,1
C005,undecided,255,255,255,661,392,1,35.3412,1
C006,undecided,255,255,255,880,562,1,31.3847,1
C007,undecided,255,255,255,1004,513,5,36.4006,1
C008,undecided,255,255,255,517,229,9,47.5395,1
C009,undecided,255,255,255,912,48,4,30.4795,1
C010,undecided,255,255,255,924,244,1,35.1141,1
C011,undecided,255,255,255,602,385,7,43.9659,1
C012,undecided,255,255,255,739,244,6,37.0135,1
C013,undecided,255,255,255,489,80,4,47.5395,1
C014,undecided,255,255,255,1197,151,3,46.0977,1
C015,undecided,255,255,255,598,185,1,36.1248,1
C016,undecided,255,255,255,592,113,1,38.2884,1
C017,undecided,255,255,255,689,114,1,51.4781,1
C018,undecided,255,255,255,869,278,1,37.3631,1
C019,undecided,255,255,255,657,103,2,49.7695,1
C020,undecided,255,255,255,711,87,2,64.1405,1
C021,undecided,255,255,255,662,164,1,36.0555,1
C022,undecided,255,255,255,312,337,249,4.12311,1
C023,undecided,255,255,255,790,149,3,47.7074,1
C024,undecided,255,255,255,686,46,1,83.4086,1
C025,undecided,255,255,255,309,204,68,32.5576,1
C026,undecided,255,255,255,1001,276,3,40.2616,1
C027,undecided,255,255,255,735,22,5,48.2701,1
C028,undecided,255,255,255,580,117,293,3.16228,1
C029,undecided,255,255,255,729,119,1,69.7711,1
C030,undecided,255,255,255,808,134,322,3.16228,1
C031,undecided,255,255,255,726,53,6,57.2713,1
C032,undecided,255,255,255,344,9,5,26.4197,1
C033,undecided,255,255,255,639,197,4,65,1
C034,undecided,255,255,255,637,160,11,51.1957,1
C035,undecided,255,255,255,766,219,2,68.4251,1
C036,undecided,255,255,255,745,167,1,66.0984,1
C037,undecided,255,255,255,1067,50,3,45.4863,1
C038,undecided,255,255,255,428,129,14,63.7024,1
C039,undecided,255,255,255,259,323,353,3.60555,1
C040,undecided,255,255,255,586,336,281,12.1655,1
C041,undecided,255,255,255,347,63,27,43.4166,1
C042,undecided,255,255,255,1032,378,12,45.7056,1
C043,undecided,255,255,255,375,376,246,4.24264,1
C044,undecided,255,255,255,519,256,23,53.0377,1
C045,undecided,255,255,255,716,359,4,84.214,1
C046,undecided,255,255,255,519,44,47,33.9706,1
C047,undecided,255,255,255,943,206,18,53.2353,1
C048,undecided,255,255,255,238,550,310,4.12311,1
C049,undecided,255,255,255,402,316,336,4,1
C050,undecided,255,255,255,565,341,263,8.48528,1
C051,undecided,255,255,255,364,549,258,6.32456,1
C052,undecided,255,255,255,320,654,302,4.24264,1
C053,undecided,255,255,255,484,51,50,30.5287,1
C054,undecided,255,255,255,583,477,253,3.60555,1
C055,undecided,255,255,255,918,185,4,32.5576,1
C056,undecided,255,255,255,769,159,312,4.47214,1
C057,undecided,255,255,255,428,115,301,4.47214,1
C058,undecided,255,255,255,893,111,15,58.2409,1
C059,undecided,255,255,255,216,405,302,4.24264,1
C060,undecided,255,255,255,299,297,297,3.60555,1
C061,undecided,255,255,255,348,12,7,31.7648,1
C062,undecided,255,255,255,760,432,38,56.4358,1
C063,undecided,255,255,255,781,253,12,30.6757,1
C064,undecided,255,255,255,562,343,61,29.0689,1
C065,undecided,255,255,255,440,207,328,4.12311,1
C066,undecided,255,255,255,445,141,271,3.60555,1
C067,undecided,255,255,255,336,357,289,6.40312,1
C068,undecided,255,255,255,350,359,338,5.09902,1
C069,undecided,255,255,255,379,189,326,3.16228,1
C070,undecided,255,255,255,252,789,303,5.38516,1
C071,undecided,255,255,255,378,91,125,27.2947,1
C072,undecided,255,255,255,1205,141,43,18.3576,1
C073,undecided,255,255,255,542,150,323,4.24264,1
C074,undecided,255,255,255,375,436,366,2.23607,1
C075,undecided,255,255,255,263,669,305,3.60555,1
C076,undecided,255,255,255,316,1,292,4,1
C077,undecided,255,255,255,221,514,327,3.16228,1
C078,undecided,255,255,255,1077,214,25,64.3506,1
C079,undecided,255,255,255,488,157,296,3.16228,1
C080,undecided,255,255,255,305,569,314,3.16228,1
C081,undecided,255,255,255,70,557,320,4.24264,1
C082,undecided,255,255,255,660,18,2,68.8186,1
C083,undecided,255,255,255,186,364,300,3.60555,1
C084,undecided,255,255,255,561,228,280,5.38516,1
C085,undecided,255,255,255,611,340,265,5,1
C086,undecided,255,255,255,807,372,14,71.8471,1
C087,undecided,255,255,255,485,268,300,4.24264,1
C088,undecided,255,255,255,553,294,301,5.83095,1
C089,undecided,255,255,255,451,782,319,4.12311,1
C090,undecided,255,255,255,697,62,235,9.48683,1
C091,undecided,255,255,255,189,462,318,3.16228,1
C092,undecided,255,255,255,12,782,13,45.2769,1
C093,undecided,255,255,255,569,76,319,5.65685,1
C094,undecided,255,255,255,319,526,307,5,1
C095,undecided,255,255,255,903,233,8,87.046,1
C096,undecided,255,255,255,408,300,267,3.16228,1
C097,undecided,255,255,255,321,457,275,3.16228,1
C098,undecided,255,255,255,399,303,213,17,1
C099,undecided,255,255,255,730,294,61,64.6375,1
C100,undecided,255,255,255,437,789,109,20.025,1
C101,undecided,255,255,255,447,189,13,46.8722,1
C102,undecided,255,255,255,541,2,187,6.40312,1
C103,undecided,255,255,255,582,418,111,25.0799,1
C104,undecided,255,255,255,285,781,295,4.12311,1
C105,undecided,255,255,255,499,310,287,4.47214,1
C106,undecided,255,255,255,545,425,337,5.09902,1
C107,undecided,255,255,255,502,369,353,4.12311,1
C108,undecided,255,255,255,366,784,311,4.47214,1
C109,undecided,255,255,255,379,398,310,3.60555,1
C110,undecided,255,255,255,470,355,348,4.24264,1
C111,undecided,255,255,255,11,11,15,40.3113,1
C112,undecided,255,255,255,525,476,354,3.60555,1
C113,undecided,255,255,255,449,15,40,50.774,1
C114,undecided,255,255,255,473,240,4,74.5252,1
C115,undecided,255,255,255,363,254,311,3.16228,1
C116,undecided,255,255,255,656,92,286,4.24264,1
C117,undecided,255,255,255,524,658,332,5.09902,1
C118,undecided,255,255,255,705,288,38,59.8415,1
C119,undecided,255,255,255,653,118,222,5.09902,1
C120,undecided,255,255,255,450,756,281,7.07107,1
C121,undecided,255,255,255,509,306,285,5.09902,1
C122,undecided,255,255,255,223,431,291,2.82843,1
C123,undecided,255,255,255,629,76,293,4.47214,1
C124,undecided,255,255,255,502,312,324,6.7082,1
C125,undecided,255,255,255,1048,63,4,30.5287,1
C126,undecided,255,255,255,276,783,325,3.16228,1
C127,undecided,255,255,255,732,190,276,6.32456,1
C128,undecided,255,255,255,446,302,271,3.16228,1
C129,undecided,255,255,255,297,414,315,3.16228,1
C130,undecided,255,255,255,814,182,370,5.65685,1
C131,undecided,255,255,255,353,731,279,3.16228,1
C132,undecided,255,255,255,280,367,261,7.07107,1
C133,undecided,255,255,255,734,379,40,32.28,1
C134,undecided,255,255,255,431,126,309,3.16228,1
C135,undecided,255,255,255,477,251,275,3.16228,1
C136,undecided,255,255,255,1215,162,126,43.2897,1
C137,undecided,255,255,255,557,41,281,4.24264,1
C138,undecided,255,255,255,200,612,304,3.60555,1
C139,undecided,255,255,255,711,499,40,32.7567,1
C140,undecided,255,255,255,480,788,303,3.16228,1
C141,undecided,255,255,255,509,510,344,5,1
C142,undecided,255,255,255,240,784,321,4.24264,1
C143,undecided,255,255,255,424,166,295,4.12311,1
C144,undecided,255,255,255,579,313,326,2.23607,1
C145,undecided,255,255,255,544,302,323,4.47214,1
C146,undecided,255,255,255,122,567,284,3.16228,1
C147,undecided,255,255,255,686,528,345,2.82843,1
C148,undecided,255,255,255,444,488,314,6.08276,1
C149,undecided,255,255,255,343,387,308,5,1
