Frame,C009,C013,C005,C004,C012,C003,C023,C002,C001,C016,C000,C007,C011,C010,C006
0.0,0.2778776,-3.70794,-1.19857,-0.3166856,-3.051715,15.43754,-0.3683259,0.1698564,0.354708,0.1971797,-0.4191357,0.5986991,-0.4089987,-0.8279501,0.4012396
0.066627,-0.3605421,-0.8050427,-0.586175,-1.849535,-2.918549,11.56275,0.7800142,1.881719,0.5068665,0.3399405,0.2645979,0.4611053,1.107066,0.7051932,-0.2345635
0.133254,-2.891774,-0.6337421,-0.8108822,0.139392,-2.403247,11.00908,-0.01163278,-0.2251091,0.9675625,-0.3810739,-0.08931747,0.01644528,1.683957,-0.6285703,0.2904165
0.199881,-0.6358508,0.5277018,-0.6139761,0.09356597,-1.671138,7.93818,-1.044904,-0.4763713,0.02101511,-0.8268987,-0.4754488,-0.05112818,2.343356,-0.6497112,1.702747
0.266508,-1.518098,1.146084,-0.8544727,-0.4089279,-1.56321,6.015885,-0.3142032,1.798591,0.4483807,-0.5181367,-0.4738092,0.5185182,0.6147691,0.6278996,0.4781734
0.333135,-3.072109,-0.3959862,-0.8692894,-0.4160613,-1.008388,6.592915,-0.160693,2.853903,0.5872144,-0.8933684,-0.4713337,-0.4240033,0.5895446,1.010352,-0.2004156
0.399762,-0.9746435,2.159467,-0.738492,-0.3631863,-1.541051,7.99883,-0.1383316,1.171779,0.4910421,-0.9276157,-0.2649232,0.2738446,0.9468108,-0.4042418,-0.1155953
0.466389,-0.8989672,0.4012251,-1.014566,1.99557,-2.283243,8.501505,-0.5294797,-0.1526908,1.014292,-0.03480713,-0.564321,0.530986,2.720958,-0.1513805,0.9299756
0.533016,-1.693792,-2.621923,-1.12032,0.239851,-0.6800843,3.482473,0.4877681,0.3044479,-0.5901304,-1.207555,-0.2665723,0.4906488,0.3644152,-0.5926793,-0.5145406
0.599643,-1.39943,-1.357113,-1.244368,2.162673,-1.026208,4.442454,-0.5572282,-0.2654153,0.07877688,-1.612568,-0.4188757,-0.3145438,1.671931,0.02187871,-0.1772856
0.66627,-2.260987,-1.08191,-0.2645743,-0.69998,-0.2010645,6.639991,-0.6848338,0.8322844,0.4027397,-1.198474,-0.1200072,-0.4021605,-0.2351168,-0.2615186,-0.002556394
0.732897,-0.7854288,1.079319,-0.2558713,2.513723,-0.1723253,9.210041,-1.27581,-1.475356,0.6902941,-1.44636,-0.6137752,0.02554859,4.461635,0.7943868,0.950614
0.799524,1.021291,2.075217,-0.5818768,0.1623847,0.629398,11.1392,-0.3170407,-1.045904,-0.495694,-0.8114369,-0.07068941,-0.1787648,2.267075,-0.3686976,-0.02602084
