Frame,C009,C025,C013,C005,C029,C004,C012,C008,C003,C019,C022,C018,C002,C014,C001,C017,C037,C021,C020,C036,C016,C000,C031,C007,C011,C010,C006,C030
0.0,0.5637326,0.8367332,0.8774881,2.421435,-3.298812,-0.5370006,1.206866,-1.861861,0.9382026,0.6415902,0.06608775,-2.796468,0.7500648,0.1382507,1.589301,1.776592,0.1294822,2.88943,2.655671,0.04001548,-1.517492,-0.5441914,2.300419,1.097039,2.543513,-0.65859,-0.3413905,-1.933238
0.066628,-1.192596,0.03745586,0.5268226,2.7985,-0.4108551,-0.5331807,1.747534,-0.7677246,1.194781,0.9358845,0.2531451,-1.263616,1.286287,-2.070982,0.1979321,1.894753,0.1925856,-0.01292573,3.952032,-0.0429709,-1.064439,-0.5944756,1.822897,1.553557,3.333057,-1.106565,-0.01937324,-3.018989
0.133256,-0.4136363,-0.7465225,1.692026,1.974969,0.4299668,-0.3768657,2.398901,-1.162491,0.8780271,0.6844423,0.4374991,-0.5169225,0.7175131,-1.156834,0.4067524,1.320699,0.2508098,1.455493,1.526549,0.5883035,-1.096772,-0.2879412,2.082383,1.407377,1.853065,-0.2047541,-0.9350743,-2.304229
0.199884,0.9464206,0.09501815,0.9766603,1.373686,0.6918328,-0.4256784,1.919614,-1.233081,0.4783783,0.6037918,-0.09644026,-0.3696849,0.2400605,0.0217834,0.4959193,1.232872,-0.2765281,0.873216,1.934226,0.4664094,-0.5968556,-0.5372552,1.600343,0.2803797,2.085722,-0.663249,-1.071805,-2.037749
0.266512,0.569195,0.7115116,0.5855744,1.694008,0.4341472,0.08973645,2.02161,0.05071417,-0.483857,0.8536711,-0.5811524,-0.1073953,0.4969779,0.9544811,-0.3483694,1.423683,-0.5936397,0.2193922,2.684373,1.096934,-1.311691,-0.4961735,2.058981,-0.6971244,0.7373222,-0.483418,-1.251675,-2.392341
0.33314,0.3025273,-0.2609059,1.114344,0.7996598,-0.56804,-0.136025,1.085395,-0.3677231,-0.07101019,0.4995826,-0.02105135,-0.5901553,0.6744328,-0.06351785,-0.3476923,1.079973,-0.894541,-0.4695148,1.595631,1.011671,-0.953822,-0.5467724,1.939327,-0.3800912,1.033608,-0.3465833,-0.9902834,-0.4151937
0.399768,0.2459104,-0.5499935,0.5330453,0.9568436,0.3364199,0.09265888,0.3497156,-1.199674,0.06992141,0.5376566,0.7398202,-0.5562472,-0.15077,0.4489894,-0.1626482,0.7788904,-0.1093474,0.3090993,0.8942903,1.238947,-0.3734503,-0.6173081,1.821316,-0.620535,0.650972,-0.4836277,-0.6207057,0.2429116
0.466396,0.7240431,0.4502699,0.5419605,0.2893455,-0.2221096,-0.07779514,0.7402329,-0.3060018,-0.3671372,0.5072613,0.3378478,-0.630821,0.07319794,-0.3217579,-0.0590112,0.6560714,-1.233258,0.07684497,1.056387,0.7927619,-0.8793339,-0.6059327,1.700805,-0.6662545,0.2047913,-0.3814978,-0.9182848,1.925371
0.533024,0.1566444,-0.5777105,0.7379379,0.951031,0.3664881,-0.4129038,0.8916414,-0.3731398,-0.06377235,0.66886,-0.1506426,-0.8044471,0.3782219,-0.1014417,-0.6333734,0.3845262,-0.6468603,0.1275948,1.89759,1.205739,-0.4816856,-0.4110496,2.682691,-1.273688,1.340226,0.5000305,-0.7323893,2.57548
0.599652,1.232737,-0.7737415,0.5994218,0.5198836,0.1759075,-0.07965674,1.731253,-0.6591805,-1.078569,0.3543361,0.5263711,-1.440005,0.007727515,-0.9960102,-0.1835424,0.2406495,-0.4357339,0.4521913,2.019419,0.4282642,-0.5096196,-0.6146954,3.219986,-1.108212,1.993137,0.2120209,-0.323759,2.538738
