Frame,C009,C025,C013,C005,C029,C004,C045,C024,C008,C015,C003,C039,C019,C023,C035,C018,C038,C002,C014,C001,C017,C040,C037,C021,C036,C016,C000,C031,C027,C007,C011,C010,C006,C026,C030
0.0,0.5304305,-1.389562,-1.199829,-1.781345,-0.2327857,1.255372,-0.5648237,-1.697041,0.2171852,-0.3816658,-1.256712,0.08281805,-0.7012684,1.407282,-0.04828535,-2.289108,3.309176,1.978607,-0.4082825,-0.02711425,2.754008,0.2852861,0.494283,-0.4256359,-0.2999699,1.491282,0.007470994,3.814516,-0.002466328,-0.2722152,0.9977949,0.5275692,0.02521388,-0.7225178,-0.4923716
0.066628,0.5461172,-4.356893,0.6477759,-1.664658,-0.3066571,1.513934,-0.2578346,-0.3674365,-0.5734153,-0.2484782,-0.7131553,0.7079397,-1.999346,-0.1621167,-0.07439566,-0.433744,-0.4252231,2.348261,0.2115743,0.2900428,1.729577,0.34662,-0.4601977,-2.261678,-2.444944,1.316045,1.026923,2.324126,-0.5779319,0.4466849,-0.2623709,1.650555,1.211571,-0.5266706,-1.24173
0.133256,0.4946892,-2.507603,0.8725412,-1.337574,0.5131119,0.4274327,-0.2490487,0.8551499,-1.135469,-0.9108354,-1.220256,-0.5360251,0.2267446,-0.2096619,0.2923619,-1.73655,2.022055,0.02625459,-0.2565667,0.3781403,1.145273,0.01526966,-1.417068,0.859422,0.8109333,-0.2371788,-0.492601,4.155733,0.6087275,-0.2925453,-0.1159044,0.1654215,-1.138884,0.8853214,-0.9991512
0.199884,0.3419075,-0.1217801,-1.416762,-0.8311198,-0.71346,-1.244026,-0.1288494,-0.04824077,-0.4298143,-0.2216751,-0.6516063,-0.3176536,0.2006101,0.6559865,-0.2675155,-0.5612863,0.3411816,-0.7958698,-0.5769221,-0.1274558,-1.2132,0.1686736,-0.2332584,-2.72867,-0.531926,0.1132241,0.3768616,2.299296,0.4352617,0.1849065,-0.190613,-0.2996954,-0.1196078,-0.3491557,-0.8554454
0.266512,-0.09055448,-0.1764743,-0.5091041,-0.8137282,0.3903933,-1.277071,0.118217,-0.36533,0.3749141,-0.7266089,-1.007671,0.5102429,0.8087155,-0.03155443,-0.03188843,0.1906113,1.188241,-0.09132892,-1.112433,-0.4965512,0.8542098,0.4743894,-0.2681265,-0.3946901,-0.8533653,1.333373,0.7257083,2.111228,0.1870494,0.4165397,0.05444878,1.070868,-0.01068999,-0.2290155,-0.5855045
0.33314,-0.3237646,-0.9995978,0.07151411,-0.6837983,0.7460124,-1.609586,0.1302647,-2.311187,1.287985,-0.4986477,-1.808488,0.7207242,-1.256967,-0.09095025,-0.4846915,0.3233798,-1.232984,0.5679706,-2.116446,-0.3664673,0.4616302,0.6925748,-2.227114,-1.555066,-0.1891154,-0.516549,0.768249,1.415547,0.1780273,0.7052817,-0.3774239,1.679114,1.070146,-0.8034993,-0.8934855
0.399768,-0.003038448,0.4668507,0.3341202,-0.5877694,-0.4191219,-2.553423,-0.08320899,0.4149745,0.3036418,-0.2521192,-0.3724371,-0.1372264,1.265922,-0.282885,-0.4068773,-0.7273161,1.316253,-1.096119,-0.3724781,-0.4430485,0.6119859,0.1645949,0.1963739,-0.7870095,-0.9589954,-0.3136697,0.4519497,0.6821764,0.09936071,-0.4797337,-1.041853,0.07979649,0.5442271,-1.313547,-0.7512273
0.466396,0.7526534,-0.2373067,-0.2793712,-0.3954794,0.0650759,-1.794868,-0.08958005,0.2849869,-1.040787,-0.5614734,-0.8634334,-0.8535443,-0.5584062,-0.8701649,0.6408128,-1.373764,0.6197457,0.347163,-0.2347364,-0.1866817,0.08382411,-0.01328481,-0.2416783,-2.922572,0.7328421,0.06553774,-0.4077578,3.641258,0.2746074,0.2651076,0.08093018,-0.2451587,-0.559597,0.5065438,-0.3210227
0.533024,0.4244111,-1.090105,-0.04890934,-1.309758,-1.205408,-2.512544,-0.1373312,-0.7516447,-2.244654,-0.2618209,-0.9499459,-0.8560982,0.5095415,0.247714,1.918586,-0.8800768,0.7481558,0.2141521,0.3967308,-0.3644223,0.06556404,0.1937228,1.424241,-2.755116,-1.072341,-0.03161089,0.4155832,1.969622,0.119215,-0.00649903,0.2526579,-0.8125149,-0.4395511,-1.981036,-0.2920249
0.599652,0.5106565,-1.422843,0.1994496,-0.496593,-0.9747231,-1.114348,-0.2036504,-0.7811413,0.8729331,-0.4253514,-0.5820191,-0.1432567,-0.2992209,-0.09305364,2.996913,0.7234874,-0.9345561,-0.3382035,-0.4556683,-0.1084946,0.1005853,0.37331,-0.7893801,-0.8825919,-0.7274369,0.4765777,-0.2058272,2.876757,-0.3107611,0.9086047,-0.2330622,-0.7099557,-0.9993638,-2.318377,-0.8081238
0.66628,0.5185933,1.05805,-0.7990867,-0.5432914,0.5427726,-2.151186,-0.1745294,-0.169258,0.4212715,-0.5149978,-0.769648,-0.06504504,0.02047823,0.2519168,3.481193,1.422454,0.4263683,-0.350855,-0.4898974,-0.4525725,-0.1741848,0.02538057,-1.618895,-3.275665,-0.1734706,-0.2553044,0.3977416,1.082977,-0.001206663,-0.576322,0.341853,-0.6003466,-0.3646136,-1.335282,-0.4820557
0.732908,-0.3244055,0.06763532,-0.9304807,-0.7045645,0.2563447,-1.79076,-0.1337299,-0.7566372,0.4116819,-0.6596078,-0.9614494,0.2846424,-0.0004029604,0.1204103,3.410005,0.4932395,-1.357681,-0.2990495,-0.2925546,0.01314538,-0.3852212,0.9422424,-0.3891227,-1.470285,-0.9295445,-0.4234958,0.2879562,2.489274,-0.2397389,0.08698569,-0.0002017677,-0.5749602,0.09424975,-1.095539,-0.5318295
0.799536,-0.1251347,-0.1029384,-1.082877,-0.3341383,0.2855105,-1.942658,0.05072202,0.1019744,1.378801,-0.3424091,-0.8343984,-0.3664806,-1.094105,0.3258937,3.414499,1.972104,-0.771405,-1.2049,-0.6918513,-0.1733119,-1.031161,0.8745565,-1.544946,-0.8611871,0.1247205,-0.4175005,0.4358618,2.097832,-0.1993307,0.1523867,-0.6415608,0.01811421,-0.6206232,-0.7649685,-0.817716
0.866164,0.5913349,-0.7010254,-1.280362,-0.461854,0.1294095,-2.122146,-0.2049172,1.218816,1.374993,-0.6164237,-0.854206,-0.6587675,-0.2229744,0.8131807,2.769336,1.025298,-0.02992614,-0.7323344,0.1013399,-0.3161056,0.1309998,0.678571,0.3862636,-1.414508,-1.598148,-0.03224044,-0.6339107,3.268771,-0.119806,-0.08004586,-0.4899155,-0.952073,-0.7825889,-1.481379,-0.4966254
0.932792,0.7122415,0.6703873,-0.922552,-0.997555,-0.3406903,-2.160733,-0.009974736,1.519529,0.5226514,-0.2491479,-0.6254571,-0.946969,1.542838,0.01698051,2.191395,0.8544068,-0.6486568,-0.0854391,0.6730183,-0.2380475,-1.968101,0.1258642,1.076784,-0.8826979,-0.4455231,-1.184386,0.2854113,2.990135,-0.5698194,-0.8094171,-0.3860814,-1.143131,-0.6997014,-0.3034157,-0.7077535
0.99942,0.5371539,-0.4481331,-0.7371336,0.06381182,-0.4014028,-2.796777,0.03179943,0.1651181,1.469959,-0.3495217,-0.6475219,-0.2967686,-1.313613,0.6515341,2.099936,-0.1370012,0.03567896,1.2627,-0.05704455,-0.2326551,-0.4451456,0.483381,-0.492264,-1.322024,-1.245218,-0.6107611,0.2559949,1.350214,-0.03509181,-0.3268089,0.1282721,-1.409187,-1.012611,-1.581485,-1.216295
1.066048,-0.2423888,-0.5653144,-1.077771,-0.4119281,-0.9390587,-2.803496,-0.05045497,-0.05576405,1.665056,-0.6916679,-0.11558,-0.5575655,1.566209,0.7441018,1.97508,1.049973,0.4360962,1.257552,0.4905727,-0.6485012,-0.3694296,0.7339555,-0.9020237,-0.04688742,0.2588257,-0.77921,0.2991993,0.4570096,0.007414469,-0.3990743,-0.6092741,-0.8211638,-0.9597234,-2.091617,-0.3446798
1.132676,0.2622458,0.1317831,-0.7963216,1.12133,-0.6281773,-2.68127,0.1319831,-0.6103671,0.4763627,-0.5262915,-0.3100753,-1.069801,-0.3894171,0.6954507,1.337061,0.6288619,-1.017995,-0.1792854,0.4890486,-0.6224188,-0.1885243,0.7656322,0.02456382,-0.728811,-0.2645441,-0.473296,0.4224838,0.141462,-0.007749461,-0.08202696,-0.5905741,-0.4272527,-1.965032,-0.7154697,-1.057517
1.199304,0.06539176,-0.8611581,-1.207147,1.424374,-0.5205947,-2.457531,-0.09953462,-1.242023,1.311549,-0.3467062,-0.5299244,-0.242633,-1.304268,0.06368412,1.894857,-0.4734935,0.9174631,-0.1971914,0.02634584,-0.4290028,-1.107329,1.012656,-1.796115,-2.199219,0.5365568,0.05366598,-0.3854534,0.9758162,-0.07821843,-0.2625038,-0.01902792,-0.24045,-1.395353,-1.177267,-0.09107928
