Frame,C009,C025,C013,C005,C004,C012,C024,C008,C015,C003,C019,C023,C035,C022,C018,C002,C014,C001,C017,C036,C041,C016,C000,C031,C027,C007,C011,C046,C010,C006,C026,C030
0.0,1.739502,-0.1524759,-1.181497,0.7529616,-0.493345,8.742596,0.5777464,-1.516706,-2.45532,-0.1179523,3.76635,-0.05407278,2.881235,-1.449782,1.612823,2.099351,-1.714467,0.5943422,-1.068872,-2.293446,-3.051673,-0.1671197,-0.6621939,-0.9489406,-0.03925127,-0.4155232,1.127339,1.89859,-0.5025657,-0.3724971,-0.2577565,0.4819781
0.066628,-0.4119308,-0.3689588,0.1352701,1.096689,0.4770696,8.708459,0.2337049,-0.7988918,-0.5163348,0.06915081,0.2547576,0.09307379,1.144254,-0.284886,1.092316,-0.08205104,-0.6964104,-0.2754024,-0.6256105,-1.262237,1.835393,-0.3534238,-1.04729,2.757092,-0.00271719,0.0002589549,1.034317,1.949494,0.5947778,-0.1801093,-0.816047,-2.288822
0.133256,-0.1188282,-0.5232527,0.12241,1.419618,0.6230081,7.193644,-0.2776749,-0.286382,-0.1607057,0.09348928,0.9341084,0.3656173,0.4448814,-0.6604553,0.8246152,-0.047884,-0.424992,0.1062922,-0.3857028,-0.8057604,1.242239,-0.8933771,-0.9289128,2.426314,-0.2315848,-0.6812228,0.9734821,1.239148,0.007279579,0.01624358,-0.05760427,0.5625559
0.199884,0.1310085,-0.3873451,0.9178442,0.6301009,0.9141607,5.840199,-0.03641902,0.215367,-0.2233277,-0.2059106,0.2772521,-0.2340923,0.5237165,-0.6464116,0.5599129,-0.0129511,-1.23994,0.4730218,0.4655228,-0.2232892,2.281467,-1.018063,-1.212794,2.664669,-0.8610299,-0.444277,0.023503,0.8516657,1.023479,-0.5932264,0.151578,-0.2880097
0.266512,0.1949491,-0.6995775,0.5665655,1.216426,0.693047,5.478818,0.1244253,-0.6431745,-0.5295159,-0.3846641,-0.3716788,-0.0293123,0.7653225,-0.5935073,0.4523856,-0.2140036,-0.832537,0.1311792,-0.3772287,-0.7151665,3.745844,-0.4094923,-0.9637722,3.094146,-1.023091,-0.8377551,0.1854254,0.833614,0.7672239,0.2219169,-0.2191842,-0.4660271
0.33314,-0.3945283,-0.6705353,0.9171966,0.6673886,1.065205,6.454249,0.3178474,-0.5590228,0.004924906,0.01164187,-0.04363946,1.075444,0.7612996,-0.8790843,0.9224418,0.1319407,0.6808311,-0.4570772,-0.06403417,-0.7197824,4.365744,-1.297524,-1.356675,3.695489,-1.375037,-0.5428153,1.182722,0.7371987,0.1751718,-0.5566168,-1.250692,-1.031517
0.399768,0.3974347,-0.7015303,0.7973603,-0.2008844,0.4937797,4.472224,-0.08152231,-0.9283645,-0.5266357,-0.3311778,-0.8563794,-0.5165606,0.1552949,-0.3316645,0.8606221,0.7910166,-0.9325861,0.1180619,-1.079868,-0.9475663,4.375118,-0.02538138,-1.142268,3.155041,-1.798277,-0.9506347,0.3325335,0.7734292,0.4057571,0.5674003,-0.5366099,-0.4183595
0.466396,-0.8867972,-1.110912,0.6232451,-0.08635181,0.1518524,5.132601,-0.285285,0.06175962,2.032634,-0.02076361,0.361287,-0.8864215,1.121347,-1.164244,0.545586,0.4215252,-0.5392517,-0.8637585,-0.2454627,-0.6776339,3.747135,-1.405178,-1.422309,3.650851,-2.425959,-0.6328855,1.579659,0.3575254,0.4536151,-0.2091658,-0.4972173,0.3179528
0.533024,0.2172126,-0.4450407,1.08374,-0.2333195,0.6523116,4.295343,-0.4369433,-0.4123432,0.04319299,-0.4297713,-0.7773544,-0.2478813,1.045237,-0.4752247,0.9262899,-0.3431636,0.003629024,0.3534962,-0.3864011,-0.5551074,4.256546,-1.261456,-1.171906,3.266187,-2.649825,-1.017015,0.5265698,0.4605192,0.9110942,1.427395,-0.2746963,0.6252971
0.599652,0.107219,-0.7246992,0.6625659,0.2124845,0.4750477,3.564353,-0.2598797,-1.495733,-0.290438,-0.3214744,-0.5049558,-0.4576948,-0.08508738,0.007375727,0.5020066,-0.3994783,-0.4433816,-0.2724029,-0.7314153,-0.1788723,3.31177,-1.29715,-1.004817,3.43207,-1.496448,-0.827007,0.4113301,0.1712854,-0.06102292,0.3835462,-0.8099456,0.07097786
