Frame,C009,C025,C013,C005,C029,C028,C004,C012,C008,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C020,C016,C000,C027,C050,C007,C011,C010,C006,C026,C030
0.0,-1.605372,0.3367521,-0.5847753,-1.097256,-1.371714,0.1281255,0.8415684,2.55494,3.004878,-1.037736,0.5148074,1.699399,-1.264145,0.2067231,-1.922795,-1.350673,0.4250485,2.38534,-0.2118902,2.531455,3.734313,0.4620512,-0.8271667,1.145281,-0.6171512,-0.7537394,2.401276,-0.1417387,-1.718757,1.066316
0.066628,-0.7285054,0.1676616,-0.32531,0.3666328,-0.9121369,0.628951,0.4455397,1.697098,1.75373,0.1226402,-0.7841512,0.7373564,0.6640727,0.3483074,-0.9185053,-1.469968,-0.4757971,0.4614885,-0.2146274,2.644127,-1.067641,-0.01630473,-1.104838,2.349061,-1.851967,-0.1229652,-0.1782752,-0.6536812,0.6633048,1.37537
0.133256,0.260124,0.5623705,-0.3476221,0.6761757,-0.1972074,-1.842212,0.7819203,0.8996813,1.307718,-0.6581176,-0.6136392,1.380021,0.7859323,0.8993842,-0.9766424,-0.3302161,0.01888177,0.5585035,-0.3280222,2.295832,0.4371049,-0.05770735,-0.8731978,1.859508,-0.7599307,0.2422065,-1.320175,0.5966704,-0.5279257,1.558957
0.199884,-0.9748853,1.753376,-0.4682346,0.3211742,-0.3237687,0.1863263,0.5594905,0.8446546,1.003964,-0.722537,-0.4468237,0.3244812,0.8899637,0.8855606,-0.7119673,-0.7644307,-0.5254273,0.743858,0.06484677,1.294272,0.5606267,0.364897,0.4848711,1.765363,-1.392638,-0.3499853,-0.6186915,0.1989392,0.3394487,0.5435651
0.266512,-0.5711067,3.047154,-1.23598,0.01502788,0.2678442,0.2637191,0.3986301,0.8242694,0.2417889,-0.5901635,-1.445171,0.4407514,0.6403026,1.065686,-0.7599905,0.1169971,-1.567953,-0.7207531,-0.2631868,1.030165,1.624004,-0.0810008,1.799324,1.50994,-1.075369,0.1627003,-0.9854283,0.03582213,1.443431,0.3616623
0.33314,-0.09166507,3.327044,-1.352182,-0.0296371,-0.4809502,0.147647,1.290803,0.2313577,0.3127489,0.3157526,-2.012893,0.9659792,0.4632101,0.2196812,-0.7089558,0.4635354,-0.8340697,-1.749928,0.7405987,1.093248,-1.604592,0.008795892,2.807819,1.264591,-0.7513679,0.70504,-0.07879648,-0.5271366,2.029238,0.09382084
0.399768,-0.3240752,3.654484,-1.08043,-0.1803698,0.1802407,-0.2255256,-0.3530812,0.8143764,0.0957087,0.09260917,-1.071025,0.3601685,0.549445,0.2242847,-0.6298452,-0.1855324,0.3015943,-1.773127,0.1694462,1.050882,0.09840131,-0.09163559,1.800164,1.151329,-0.9662864,-0.4206119,-0.7558131,-0.166943,1.042225,-0.127906
0.466396,-1.143816,3.41017,-0.03266666,-0.2793814,-0.3915402,0.7380084,0.1104856,1.014728,0.9946954,-0.4054197,-0.5704279,1.020769,-0.4156826,0.8996047,-0.8935423,-1.605354,-0.6507183,-0.185308,-0.3147134,0.9179429,0.3052294,-0.01989913,1.283534,1.239432,-1.971227,-0.1951219,-0.6665885,-0.2232013,1.013309,-0.327721
0.533024,0.08154245,2.009364,-0.1761882,0.1763571,-0.5883773,0.157495,0.4703323,1.537115,1.55104,0.01444961,-0.6895865,0.9145569,0.5378925,0.2200495,-1.188285,1.073345,-0.8707809,-0.9561887,-0.621842,1.198154,0.04233455,0.2309799,1.084791,1.216906,-1.706155,0.6704375,-1.563899,0.09005614,0.9320184,-0.2092708
0.599652,-0.5550122,1.57338,-0.008841746,-0.1727226,-0.7451548,-0.1672187,-0.8654059,0.5675045,-0.2408484,0.07154038,-0.8946527,1.086768,-0.1498552,0.2266473,-0.9393141,1.382335,-0.5280499,-1.093343,-0.4120298,0.3702537,0.646834,-0.1315375,1.117566,1.15983,-1.655263,0.5090483,-1.156244,-0.09087169,0.2723493,0.3783229
