Frame,C009,C013,C005,C004,C012,C032,C008,C015,C003,C023,C022,C018,C002,C014,C001,C021,C020,C041,C016,C000,C031,C027,C007,C011,C006,C026
0.0,0.3394383,-1.637649,-0.3572112,-2.042832,0.5906113,0.1772799,-1.51309,-0.6272207,0.3351947,-0.4848596,6.194494,-1.410306,-0.819375,-0.2541734,-0.1385857,-1.714398,-0.4732934,-0.3051176,0.8185587,-0.6825268,0.7850295,4.277667,1.877749,-1.382612,-0.3373949,-0.3501675
0.066628,0.4096653,-0.9270192,-0.7101811,0.5990914,0.9568924,-2.088053,-2.189566,0.2894453,0.117305,-1.852994,-3.120809,1.145084,-0.2564602,-0.7532027,-0.4301055,-1.641389,0.3618252,-0.07708348,0.9915061,-1.002927,1.056989,6.38336,3.603997,2.241101,0.5092961,-0.2739761
0.133256,1.691915,0.5994199,-0.8412523,-0.07439999,1.614772,-0.2413138,-1.382629,1.175632,-0.8614782,0.4543807,-2.958494,-0.7701784,0.1453414,0.1631344,-0.3515306,0.1754244,0.4431162,0.05266568,0.6034433,-0.8084973,0.274578,4.728129,1.078987,0.6351939,-0.128846,-0.8623615
0.199884,0.9169832,-1.562544,-1.278696,-0.5439067,0.9272277,0.8417419,-0.7217689,0.2839936,-1.280932,-1.041862,-3.430495,0.9435509,0.5458339,-0.4246807,-0.1445552,-0.3708949,-0.07597353,-0.1873842,-0.01879145,-0.8090864,0.1639731,2.460349,2.203384,1.812222,-1.398166,-0.8685704
0.266512,0.4635923,-1.594042,-0.3032813,1.031006,0.5402062,-0.7078976,-0.659066,0.2719939,-0.5831234,-0.66656,0.01650812,-0.8844379,0.4774831,-0.4903841,-0.2605976,-0.3040279,-0.6215886,-0.4950936,0.6267497,-0.3441525,-0.5525546,4.636584,2.154479,0.339379,-0.933594,-0.8542209
0.33314,0.2866309,-0.9851395,-0.7627567,0.1911024,0.3606412,-0.1315931,-0.7217965,0.6075034,-0.3943606,-2.486984,0.04398687,0.384879,-0.6368107,-0.2404003,-0.6811391,0.6153854,-0.589001,0.1825358,-0.03422749,-0.5239174,-0.3587527,3.306378,-1.080495,-1.996129,-0.6823111,-0.9172151
0.399768,-0.215333,0.4742914,-0.4023643,0.4349312,0.3135419,-0.2852135,-0.7190007,0.1957557,-1.656643,-0.6278974,1.383765,-0.5331292,-0.08520987,-0.2364583,-0.4166667,1.605561,-0.8753341,0.7537774,0.4347936,-0.4188971,0.3197399,2.022524,1.43104,-0.735919,0.003961533,-1.089469
0.466396,1.103778,-0.7194977,-0.6057589,0.4458111,0.795784,0.1085567,-1.201211,0.9493679,0.5708777,-1.274554,2.129535,0.2865067,-0.3326815,-0.8582535,-0.3570267,-0.6691334,-0.677929,1.863798,0.621736,-0.6556855,-0.03521529,1.504741,0.1808917,-0.1032486,0.1016961,-1.240899
0.533024,1.001647,-0.7870022,-0.485636,-0.2723779,-0.07420416,-0.1897419,-0.7455525,0.9244475,-0.8097283,-0.8610822,1.734802,1.752109,0.2290245,-0.559427,-0.03700369,-1.295605,0.02632651,2.402701,0.1244211,-0.5273506,0.01275358,1.466108,-0.5516901,-0.4881694,-0.2637943,-1.17835
0.599652,0.3941905,-0.543587,0.01583931,-0.5742415,0.8631493,-0.8805062,-1.812326,-0.01114458,-1.061426,-1.180188,3.321117,-0.4034997,-0.6241155,2.177174,-0.2249395,0.2939272,-1.227941,1.074118,1.426377,-0.4724207,0.3705647,1.705056,-0.6235263,-0.4852641,1.050714,-0.9291604
